Team,Record,BRRtg,TeamID,Season
lindenwood,8-21,-1.31,0,2023
cal poly,6-25,-1.33,1142,2023
holy cross,8-22,-1.33,1221,2023
university of california,3-29,-1.38,1143,2023
columbia,5-22,-1.39,1162,2023
central connecticut,10-22,-1.41,1148,2023
eastern illinois,7-22,-1.45,1183,2023
evansville,5-27,-1.47,1191,2023
njit,6-23,-1.48,1312,2023
albany (ny),6-23,-1.48,1107,2023
elon,6-24,-1.51,1189,2023
houston baptist,7-22,-1.51,1223,2023
western michigan,5-23,-1.52,1444,2023
cal state northridge,5-25,-1.54,1169,2023
arkansas-pine bluff,6-21,-1.6,1115,2023
delaware state,5-23,-1.61,1175,2023
lamar,6-22,-1.62,1249,2023
alabama state,7-23,-1.64,1106,2023
south carolina state,4-26,-1.64,1354,2023
virginia military institute,4-25,-1.75,1440,2023
florida a&m,5-22,-1.76,1197,2023
mississippi valley state,5-27,-1.87,1290,2023
green bay,3-29,-2.04,1453,2023
presbyterian,3-27,-2.14,1342,2023
iupui,3-27,-2.16,1237,2023
hartford,2-23,-2.24,1216,2023
liu-brooklyn,1-26,-2.59,1254,2023
