Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
canisius,MAAC,-6.68,101.8,108.5,67.7,-0.081,-3.19,103.4,106.6,3.38,1145,2023
maryland eastern shore,MEAC,-6.71,94.4,101.1,69.7,0.084,-5.12,101.8,106.9,4.57,0,2023
north alabama,ASun,-6.77,105.3,112.1,68.5,0.123,-2.49,104.3,106.8,0.18,1466,2023
army,Pat,-6.9,103,109.9,68.5,-0.043,-8.51,100,108.5,-8.99,1119,2023
umbc,AE,-7.04,105.4,112.4,67.7,0.028,-8.42,100.7,109.1,-8.57,1420,2023
loyola chicago,A10,-7.05,102,109.1,66.2,-0.036,-0.23,104.8,105.1,-4.24,1260,2023
southeastern louisiana,Slnd,-7.08,104.2,111.2,68.7,0.05,-6.89,102.8,109.7,5.83,1368,2023
rhode island,A10,-7.14,97.7,104.9,67.3,-0.016,-0.79,104.1,104.9,-2.7,1348,2023
southeast missouri st.,OVC,-7.21,100.7,107.9,72.4,0.015,-7.42,101.6,109,0.94,0,2023
usc upstate,BSth,-7.4,99.1,106.5,68,0.094,-3.5,103.8,107.3,2.38,1367,2023
niagara,MAAC,-7.42,101,108.4,63.2,0.092,-4.8,102.2,107,-5.05,1310,2023
nicholls st.,Slnd,-7.86,99.4,107.2,70.5,0.023,-5.85,103.9,109.7,14.09,1311,2023
bellarmine,ASun,-7.98,102.5,110.5,62.1,0.084,0.39,106.3,105.9,5.93,1468,2023
north dakota,Sum,-8.02,103.4,111.4,67.2,-0.027,-3.16,104.5,107.6,0.12,1315,2023
western illinois,Sum,-8.07,103.1,111.2,66.7,0.068,-4.74,104.3,109,-3.39,1442,2023
fairfield,MAAC,-8.08,98.9,107,65,0,-4.69,101.7,106.4,-1.38,1193,2023
miami oh,MAC,-8.34,103.7,112,66.8,-0.045,-2.73,105.5,108.3,-1.76,1275,2023
