Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
ut arlington,SB,0.4229,101.4,104.1,70.2,0.023,0.4527,100.4,102.1,0.6,1426,2015
milwaukee,Horz,0.4208,101,103.8,65.2,0.043,0.5355,103.6,102.3,0.5939,1454,2015
duquesne,A10,0.4177,107.3,110.5,67.5,-0.016,0.5264,101.7,100.7,0.3178,1182,2015
bucknell,Pat,0.4176,103.9,107,64.7,0.087,0.4257,102.2,104.9,0.5787,1137,2015
air force,MWC,0.4175,106.1,109.2,61.9,-0.065,0.4553,100.4,102,0.2347,1102,2015
lehigh,Pat,0.4174,97.7,100.6,66.7,0.007,0.4104,101.6,104.9,0.5373,1250,2015
rice,CUSA,0.4167,100.5,103.5,62.5,-0.062,0.4809,102,102.7,0.4682,1349,2015
utsa,CUSA,0.4127,104.5,107.7,66,-0.051,0.4188,99.9,102.7,0.3565,1427,2015
texas southern,SWAC,0.4111,101.7,104.9,63.9,0.131,0.3573,99.1,104.3,0.8272,1411,2015
james madison,CAA,0.4104,102.8,106.1,64.4,0.12,0.4357,102,104.3,0.4539,1241,2015
cornell,Ivy,0.4092,94.6,97.6,64.7,-0.032,0.4734,100.9,101.9,0.4525,1165,2015
missouri,SEC,0.4083,98.9,102.2,62.6,-0.02,0.7159,106,97.8,0.5813,1281,2015
fordham,A10,0.4072,100.4,103.7,65.8,-0.06,0.5655,101.9,99.6,0.4082,1200,2015
gardner webb,BSth,0.4067,105.3,108.8,67.8,0.093,0.4661,102.4,103.6,0.6805,1205,2015
northwestern st.,Slnd,0.4046,111.4,115.2,72.9,0.054,0.4218,100.9,103.7,0.7673,1322,2015
incarnate word,Slnd,0.4042,106.5,110.2,67.4,0.046,0.382,100.4,104.7,0.6502,1230,2015
houston,Amer,0.4036,99.4,102.8,64,-0.057,0.4342,100.2,102.6,0.2245,1222,2015
oral roberts,Sum,0.4002,102.7,106.4,65.4,0.097,0.4562,100.4,102,0.5887,1331,2015
texas a&m; corpus chris,Slnd,0.3987,99.1,102.7,62.7,0.046,0.3434,100.2,106,0.3649,0,2015
george mason,A10,0.3963,100.8,104.6,64.5,-0.033,0.637,103.9,99,0.6151,1206,2015
rutgers,B10,0.3947,96.3,99.9,65.7,0.036,0.6899,106.1,98.9,0.517,1353,2015
east carolina,Amer,0.3806,102,106.4,61.8,-0.003,0.5125,101.5,101,0.3535,1187,2015
st. francis pa,NEC,0.3764,97.6,102,63.2,0.031,0.4157,100.4,103.4,0.6204,0,2015
denver,Sum,0.3762,103.7,108.4,57.6,-0.068,0.4206,101.1,104,0.4714,1176,2015
uc riverside,BW,0.374,95.9,100.3,65.7,0.013,0.4863,102.7,103.1,0.4426,1415,2015
mount st. mary's,NEC,0.3739,96.5,100.9,62.9,0.04,0.4153,100.9,104,0.6481,1291,2015
south dakota,Sum,0.3732,101.3,106,65.8,0.032,0.424,101.2,103.9,0.474,1377,2015
ohio,MAC,0.3693,101.9,106.8,67,-0.04,0.5207,102.9,102.1,0.3679,1325,2015
east tennessee st.,SC,0.3674,100.1,105,68,0.035,0.4146,101.5,104.6,0.6266,1190,2015
eastern illinois,OVC,0.3663,98,102.8,62.7,0.116,0.467,102.1,103.3,0.5861,1183,2015
