Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
northern kentucky,Horz,-2.07,101.1,103.2,64.1,-0.004,-7.69,99.9,107.6,-4,1297,2022
loyola marymount,WCC,-2.24,106.1,108.4,65.8,-0.003,4.25,105,100.8,2.29,1258,2022
valparaiso,MVC,-2.27,103.1,105.3,65,-0.024,0.95,103.8,102.8,-5.08,1434,2022
niagara,MAAC,-2.28,100.1,102.4,64.2,-0.044,-2.73,101.5,104.2,-1,1310,2022
bellarmine,ASun,-2.38,108.2,110.6,61.9,0.113,-1.11,103.5,104.6,13.51,1468,2022
dartmouth,Ivy,-2.46,98.9,101.3,64.6,-0.122,-1.04,103.4,104.5,2.9,1171,2022
south dakota,Sum,-2.49,104.8,107.3,65.6,0.058,-5.35,103.3,108.6,-5.24,1377,2022
charlotte,CUSA,-2.55,105,107.5,65.4,0.095,-1,102.8,103.8,-0.06,1150,2022
cleveland st.,Horz,-2.59,103.7,106.3,67.6,0,-8.51,99,107.5,0.62,1156,2022
pittsburgh,ACC,-2.82,99.4,102.2,63.9,0.05,6.25,107.3,101.1,0.05,1338,2022
brown,Ivy,-2.9,100.5,103.4,67.3,-0.047,-0.75,103.2,103.9,2.98,1135,2022
umkc,Sum,-2.99,100.4,103.4,67.3,0.058,-4.21,103.8,108,1.32,1282,2022
nicholls st.,Slnd,-3,101.5,104.5,69.6,0.03,-8.06,100,108.1,0.59,1311,2022
tarleton st.,WAC,-3.07,100,103,63,-0.037,0.14,102.3,102.2,9.2,0,2022
florida gulf coast,ASun,-3.09,104.3,107.4,69.7,0.077,-6.05,100.3,106.3,-5.62,1195,2022
boston university,Pat,-3.36,105.8,109.1,65.1,0.004,-8.45,97.7,106.1,-4.44,1131,2022
penn,Ivy,-3.41,106.3,109.7,67.5,0.031,1.2,103.7,102.5,6.99,1335,2022
northern colorado,BSky,-3.5,107.8,111.3,69.5,0.08,-3.79,101.7,105.5,7.99,1294,2022
marist,MAAC,-3.61,100.7,104.3,66.1,-0.048,-4.55,100.4,104.9,-7.19,1265,2022
southern,SWAC,-3.7,96.8,100.5,69.8,-0.032,-5.94,99.2,105.2,6.19,1380,2022
uc davis,BW,-3.7,98.4,102.1,67,0.014,-5.24,100.2,105.4,-6.25,1413,2022
fairfield,MAAC,-3.78,100.3,104.1,64.1,-0.072,-4.35,100.4,104.8,-7.11,1193,2022
ut arlington,SB,-3.79,98.3,102.1,65.1,-0.027,1.41,102.7,101.3,11.16,1426,2022
campbell,BSth,-3.9,100.8,104.7,62.3,-0.046,-5.96,98.7,104.7,-1.17,1144,2022
eastern washington,BSky,-3.9,104,107.9,69.3,0.006,-5.29,101.3,106.6,3.61,1186,2022
georgia,SEC,-4.06,106.8,110.9,68.5,-0.024,8.17,106,97.9,-2.41,1208,2022
unc asheville,BSth,-4.21,101.3,105.5,66.4,-0.029,-5.87,100.1,106,-0.36,1421,2022
cal baptist,WAC,-4.22,99.2,103.4,67.5,0.001,-4.95,99.9,104.8,-8.81,1465,2022
rice,CUSA,-4.24,106.3,110.5,67.5,0.026,-2.13,101.2,103.3,-6.89,1349,2022
kennesaw st.,ASun,-4.37,104.8,109.2,66.1,-0.116,-1.89,102.5,104.4,6.54,1244,2022
san diego,WCC,-4.4,96.8,101.2,65.5,0.09,1.85,103.8,102,-2.38,1360,2022
indiana st.,MVC,-4.45,98.6,103.1,69.1,-0.066,3.11,105,101.9,0.19,1232,2022
george washington,A10,-4.54,99.5,104,68.8,0.043,0.67,103.2,102.6,-3.57,1203,2022
la salle,A10,-4.8,99,103.8,67.1,-0.005,0.27,103.3,103,-10.24,1247,2022
harvard,Ivy,-4.81,97.9,102.7,67,-0.045,-3.97,101.5,105.4,-4.8,1217,2022
detroit mercy,Horz,-5.04,105.6,110.6,64.6,-0.015,-4.41,101,105.4,4.31,1178,2022
rider,MAAC,-5.19,99,104.2,66.8,-0.01,-3.25,100.8,104.1,-4.69,1351,2022
purdue fort wayne,Horz,-5.22,98.7,103.9,68.2,0.072,-8.61,99.8,108.5,-7.09,1236,2022
james madison,CAA,-5.26,102.6,107.8,68.8,0.076,-1.3,102.8,104.1,0.05,1241,2022
oregon st.,P12,-5.27,105.6,110.8,66.5,-0.108,8.45,106.9,98.5,1.77,1333,2022
howard,MEAC,-5.44,100.4,105.8,70.3,-0.058,-8.36,96.5,104.9,-2.34,1224,2022
western illinois,Sum,-5.47,101.4,106.9,70.4,-0.02,-5.56,103.2,108.7,-5.25,1442,2022
liu,NEC,-5.58,99.9,105.5,72.3,0.033,-6.68,99,105.7,7.58,0,2022
marshall,CUSA,-5.68,101.5,107.1,72.2,-0.017,0.26,103.5,103.2,-0.38,1267,2022
