School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
texas,34,26,8,0.765,21.28,10.84,2647,2292,70.4,109.5,0.315,0.35,0.562,49.5,57.1,11.3,10.2,2023,1400
texas a&m,34,25,9,0.735,14.79,7.76,2490,2251,67.4,108.7,0.459,0.337,0.546,53.5,52.8,10.1,7.9,2023,1401
texas a&m-commerce,32,13,19,0.406,-10.81,-7.24,2299,2355,67.1,105,0.276,0.458,0.553,48.6,54.8,8.4,8.4,2023,0
texas a&m-corpus christi,34,24,10,0.706,-2.42,-7.72,2728,2465,71.7,111.1,0.352,0.345,0.563,52.8,55.9,11.9,5.2,2023,1394
texas southern,34,14,20,0.412,-9.49,-4.52,2361,2434,70.9,95.8,0.344,0.281,0.499,51.4,45.6,9.2,9,2023,1411
texas state,35,16,19,0.457,-2.22,-0.59,2309,2334,64.9,101.7,0.328,0.261,0.521,51.5,40.8,9.7,10.3,2023,1402
texas tech,32,16,16,0.5,13.09,8.75,2347,2208,68.9,105.7,0.348,0.368,0.556,51.7,49.7,10.5,8.7,2023,1403
texas-rio grande valley,32,15,17,0.469,-6.22,-0.29,2518,2502,74.3,105.1,0.433,0.354,0.564,52.4,58.2,6.3,8.3,2023,1410
the citadel,32,10,22,0.313,-11.99,-3.64,2158,2374,68.2,98.9,0.288,0.393,0.531,46.1,47.3,8.1,7.8,2023,1154
toledo,36,28,8,0.778,6.39,-1.93,3082,2776,71.2,120.2,0.351,0.353,0.6,50,49,9.7,7.7,2023,1405
towson,33,21,12,0.636,0.32,-4.72,2368,2202,65.7,108.1,0.298,0.345,0.54,54.4,53.6,9.4,10.2,2023,1406
troy,33,20,13,0.606,1.5,-1.14,2414,2204,69.2,105,0.325,0.41,0.538,50.3,52.1,12.5,7.4,2023,1407
tulane,31,20,11,0.645,5.81,3.04,2478,2392,74,106.3,0.354,0.381,0.566,45.5,56.3,11.2,11.4,2023,1408
tulsa,30,5,25,0.167,-8.08,4.05,1959,2323,68.7,94.2,0.267,0.424,0.502,45.2,48.7,7.9,4.1,2023,1409
uab,36,26,10,0.722,10.48,1.25,2941,2561,71.4,111.4,0.36,0.322,0.551,53.9,50.5,11.3,11.3,2023,1412
uc davis,32,18,14,0.563,0.1,-1.33,2392,2274,70.9,104.2,0.434,0.346,0.545,53,48.1,9.9,6.9,2023,1413
uc irvine,34,23,11,0.676,5.06,-0.66,2559,2268,69.9,107.3,0.296,0.316,0.56,52.6,53.5,9.9,6.5,2023,1414
uc riverside,34,22,12,0.647,1.13,0.07,2463,2352,67.4,105.9,0.257,0.383,0.536,53.7,49.7,7.5,4.7,2023,1415
uc san diego,30,10,20,0.333,-6.52,-0.34,2057,2189,67,99.9,0.274,0.404,0.529,47.6,48.5,8.4,5.8,2023,1471
uc santa barbara,34,27,7,0.794,3.87,-2.19,2454,2231,65.6,109.7,0.348,0.295,0.577,51.5,53.6,9.8,6.8,2023,1364
ucla,34,29,5,0.853,22.48,8.86,2513,2050,67.3,109.8,0.271,0.291,0.537,52.7,50.9,12.5,11.9,2023,1417
unc asheville,34,27,7,0.794,-1.48,-5.19,2551,2332,69.5,106.4,0.413,0.374,0.58,50.8,49.8,9,10.1,2023,1421
unc greensboro,32,20,12,0.625,1.71,-2.85,2306,2064,67.2,106.4,0.321,0.392,0.546,52.6,57,10.5,7.8,2023,1422
unc wilmington,34,24,10,0.706,-1.16,-3.04,2343,2187,65.4,104.2,0.38,0.341,0.542,50.5,44.9,10.2,8.4,2023,1423
ut arlington,32,11,21,0.344,-4.8,2.31,2125,2190,67.6,97.9,0.306,0.345,0.498,51.5,56,9.4,9,2023,1426
utah,32,17,15,0.531,11.65,6.84,2197,2043,66.5,102.9,0.292,0.377,0.521,52.8,58.4,7.5,10.1,2023,1428
