School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
kennesaw state,32,6,26,0.188,-16.05,-0.92,2030,2455,70.9,89.1,0.303,0.225,0.456,48.7,48.9,8.1,8.7,0.416,16.4,29.4,0.211,2019,1244
kent state,31,22,9,0.71,2.29,0.98,2323,2241,69.4,107.2,0.326,0.375,0.532,51,49.9,10,10.2,0.497,14.2,33.6,0.235,2019,1245
kentucky,31,26,5,0.839,21.75,10.17,2381,2022,68.1,112.4,0.434,0.303,0.574,56.7,51.8,8.8,14,0.531,16,36.5,0.322,2019,1246
la salle,30,10,20,0.333,-2.69,1.75,2034,2167,69.6,97.4,0.287,0.431,0.515,48.9,53.9,10.9,8.8,0.476,17.6,28.7,0.22,2019,1247
lafayette,30,10,20,0.333,-10.75,-4.51,2209,2349,70.4,102.9,0.245,0.412,0.554,48.3,52.2,7.3,10.7,0.528,16.8,22.6,0.182,2019,1248
lamar,32,20,12,0.625,-5.33,-6.79,2525,2246,71.4,108.8,0.416,0.336,0.549,55,53.4,11.9,8.4,0.514,16.7,37.2,0.287,2019,1249
lehigh,31,20,11,0.645,-1.99,-4.12,2479,2413,72.4,109.5,0.349,0.382,0.6,50.5,54.7,7.6,6.3,0.564,16.8,23.6,0.271,2019,1250
liberty,34,28,6,0.824,4.87,-5.03,2516,2066,65.3,113.3,0.258,0.435,0.597,51.7,54.8,9.8,8.2,0.571,15,25.9,0.199,2019,1251
lipscomb,32,25,7,0.781,8.66,-2.88,2670,2209,74.9,111.4,0.366,0.392,0.59,53.3,59.7,10.1,7.6,0.556,15.8,27,0.275,2019,1252
long beach state,32,14,18,0.438,-4.38,-0.18,2410,2443,73.7,101,0.41,0.313,0.526,48.9,46.6,8.4,7.7,0.486,16.6,29.1,0.284,2019,1253
long island university,32,16,16,0.5,-8.62,-8.71,2373,2337,72.9,101.4,0.342,0.432,0.543,50.1,52.3,9.3,12,0.511,17.7,27.8,0.24,2019,1254
longwood,32,15,17,0.469,-9.58,-7.17,2228,2243,68.9,99.9,0.345,0.501,0.545,50.8,49.1,8.9,7.4,0.509,18.3,24.7,0.252,2019,1255
louisiana,31,19,12,0.613,-1.59,-1.03,2543,2505,75,108.5,0.356,0.404,0.554,48.4,52.9,9.2,10,0.516,15.1,30,0.265,2019,1418
louisiana-monroe,31,17,14,0.548,0.71,-1.76,2437,2321,69.4,112.4,0.374,0.438,0.58,49.4,52.8,8.3,5.7,0.538,14.1,27.1,0.291,2019,1419
louisiana state,31,26,5,0.839,17.43,8.72,2531,2261,70.6,112.5,0.384,0.344,0.56,53.4,46.1,12.7,12.1,0.517,15.3,37.3,0.29,2019,1261
louisiana tech,32,20,12,0.625,1.4,-2,2330,2178,68.1,105.7,0.361,0.391,0.53,50.8,52,8.5,10.3,0.502,14.4,30.2,0.239,2019,1256
louisville,32,20,12,0.625,18.82,11.48,2390,2155,68.3,107.6,0.359,0.433,0.554,52.8,52.9,6.5,8,0.509,15.5,29.7,0.279,2019,1257
loyola (il),33,20,13,0.606,4.45,-0.12,2170,1996,63.6,103.4,0.33,0.337,0.574,50.7,55.7,10.2,7,0.555,17.2,20.1,0.22,2019,1260
loyola marymount,31,20,11,0.645,3.37,1.47,2094,1951,65.3,103.5,0.38,0.283,0.545,52.6,55.5,11.1,10.4,0.502,17.1,30.6,0.283,2019,1258
loyola (md),32,11,21,0.344,-8.67,-4.14,2332,2477,70.4,102.4,0.336,0.336,0.548,48.3,53.2,12.2,6.2,0.516,17.3,27.3,0.239,2019,1259
maine,32,5,27,0.156,-14.66,-3.75,1988,2271,64.6,94,0.262,0.374,0.512,48.8,63.1,11.3,10.7,0.49,19.1,26.2,0.17,2019,1263
manhattan,32,11,21,0.344,-12.52,-6.96,1833,2011,62.7,91,0.333,0.41,0.493,49,55.3,10.9,8.6,0.474,20.8,29.5,0.194,2019,1264
marist,31,12,19,0.387,-9.17,-7.2,2086,2147,65.6,101.8,0.322,0.41,0.549,48.8,51,8.4,6.2,0.523,16.9,24.2,0.22,2019,1265
marquette,31,23,8,0.742,15.79,7.56,2400,2145,70.5,108.5,0.346,0.417,0.579,53.1,51.8,7,11.6,0.542,17.2,28.7,0.264,2019,1266
marshall,32,19,13,0.594,-0.9,0.22,2574,2610,76.1,104.5,0.307,0.45,0.55,44.1,50.6,12.1,10.8,0.519,14.7,23.1,0.223,2019,1267
maryland-baltimore county,33,21,12,0.636,-5.25,-5.81,2247,2111,65.9,100.2,0.302,0.422,0.531,50.5,55,11.7,9.1,0.504,16.4,25.8,0.208,2019,1420
maryland-eastern shore,32,7,25,0.219,-23.8,-7.5,1833,2291,65.5,87.1,0.287,0.358,0.473,45.5,54.2,8.8,7.3,0.441,18.2,23.5,0.193,2019,1271
maryland,31,22,9,0.71,17.18,10.44,2222,2013,66.4,108,0.325,0.369,0.557,56.3,52,6.6,13.2,0.522,17,34.3,0.242,2019,1268
massachusetts-lowell,32,15,17,0.469,-7.86,-6.53,2456,2420,71.9,106,0.345,0.389,0.57,49.8,57.1,7.8,6.8,0.539,17.2,27.2,0.248,2019,1262
massachusetts,32,11,21,0.344,-2.51,0.33,2263,2354,68.4,102.6,0.313,0.399,0.537,52,58,7,8,0.511,17.4,31.3,0.213,2019,1269
mcneese state,31,9,22,0.29,-14.04,-5.78,2149,2303,68.4,100.9,0.386,0.327,0.542,50.6,56.4,6.9,8.8,0.504,18.5,30.4,0.275,2019,1270
memphis,31,19,12,0.613,9.89,4.6,2521,2357,76.1,106.1,0.376,0.36,0.552,51.5,54.4,10.4,10.8,0.518,17.1,33.4,0.265,2019,1272
mercer,31,11,20,0.355,-2.4,0.22,2248,2246,69.1,104.5,0.371,0.38,0.547,49.2,49.9,9.6,8.5,0.516,16.5,29.1,0.255,2019,1273
miami (fl),32,14,18,0.438,10.25,9.56,2297,2275,68.5,104.4,0.308,0.435,0.542,47.7,51.3,9.6,8.7,0.508,14.9,25.8,0.227,2019,1274
miami (oh),32,15,17,0.469,1.28,2.81,2267,2233,68.8,102.6,0.339,0.45,0.529,52,44.9,8.7,8.2,0.494,16.2,29.8,0.241,2019,1275
michigan state,31,25,6,0.806,25.61,11.81,2471,2043,68.8,115,0.352,0.377,0.593,56.1,67.9,7.6,14.2,0.561,16.2,34.7,0.262,2019,1277
michigan,31,26,5,0.839,22.04,10.46,2183,1824,65.5,107.4,0.282,0.396,0.544,50.1,51.9,9.4,10.4,0.519,12.2,24.6,0.196,2019,1276
middle tennessee,32,11,21,0.344,-5.62,1.91,2141,2313,70.3,95.2,0.297,0.35,0.505,52.3,45.4,8.5,7.6,0.476,19.5,32.1,0.201,2019,1292
milwaukee,31,9,22,0.29,-8.68,-2.28,2146,2315,68.9,100,0.279,0.38,0.521,49.3,46.4,6.8,9.4,0.485,15.6,26,0.208,2019,1454
minnesota,31,19,12,0.613,13.07,10.65,2206,2131,68.4,104,0.425,0.295,0.522,52.3,59,7.2,10.8,0.484,15.2,32.4,0.288,2019,1278
mississippi state,31,22,9,0.71,16.39,9.32,2396,2177,68.7,111.6,0.329,0.388,0.573,52.8,51.6,11.8,14.2,0.544,16.5,34.6,0.237,2019,1280
mississippi valley state,32,6,26,0.188,-22.27,-6.79,2058,2498,70.6,90.7,0.336,0.288,0.461,47.6,49.5,7.8,5.8,0.424,15.7,28.9,0.222,2019,1290
mississippi,31,20,11,0.645,13.58,8.22,2356,2190,69.3,109.3,0.326,0.395,0.573,51.7,54.4,10.6,9.7,0.533,16.1,31,0.256,2019,1279
missouri-kansas city,31,11,20,0.355,-6.18,-1.18,2156,2270,68.8,100.3,0.334,0.403,0.536,45.4,46.3,10.6,7.8,0.505,16,23.6,0.233,2019,1282
missouri state,32,16,16,0.5,-0.87,-0.71,2206,2157,66.5,103.2,0.366,0.379,0.548,49.7,45.7,10.3,12.1,0.517,16.1,26.1,0.253,2019,1283
missouri,31,15,16,0.484,9.09,9.34,2079,2087,66.1,100.6,0.299,0.407,0.532,53,46.4,7,5.2,0.502,18.2,31.7,0.21,2019,1281
monmouth,35,14,21,0.4,-10.33,-4.5,2286,2490,68.4,94.1,0.403,0.295,0.501,50,47.7,9.8,11.1,0.458,18,29.1,0.277,2019,1284
montana state,31,15,16,0.484,-7.48,-5.51,2418,2462,71.9,108.5,0.345,0.428,0.568,49.8,56.8,7.5,4.4,0.535,15.3,26.1,0.253,2019,1286
montana,31,23,8,0.742,1.12,-5.57,2385,2139,68.6,111.7,0.332,0.384,0.59,52.1,52.2,9.5,8.5,0.569,15.6,27.8,0.228,2019,1285
morehead state,33,13,20,0.394,-7.64,-1.67,2431,2543,70.6,103.2,0.328,0.382,0.528,48.8,51.5,7.9,10.8,0.494,14.9,29,0.231,2019,1287
morgan state,30,9,21,0.3,-15.65,-10.29,2159,2304,73.8,96.6,0.349,0.271,0.483,47.2,47.3,10.3,4.4,0.438,15.2,31.8,0.249,2019,1288
mount st. mary's,31,9,22,0.29,-14.09,-5.53,2092,2286,69.5,97.1,0.338,0.412,0.513,47.4,48.3,6.8,9.7,0.481,16.8,26.4,0.23,2019,1291
murray state,31,27,4,0.871,8.85,-4.36,2582,2101,71.7,116.1,0.333,0.368,0.59,52.6,59.8,10.6,11.7,0.56,14.7,32,0.246,2019,1293
navy,31,12,19,0.387,-9.74,-3.64,2061,2250,68.3,97.3,0.305,0.367,0.504,52.4,54.5,7.9,5.7,0.468,17.6,31.5,0.218,2019,1298
omaha,32,21,11,0.656,-2.1,-3.16,2523,2454,70,111.7,0.237,0.36,0.568,49.2,43.1,8,5.7,0.546,12,24.9,0.171,2019,1303
nebraska,32,17,15,0.531,15.85,11.59,2303,2130,67.5,106.1,0.328,0.375,0.525,48.2,50.6,10.6,10.9,0.493,12.5,28.1,0.228,2019,1304
nevada-las vegas,30,17,13,0.567,2.19,0.79,2221,2179,69,106.3,0.353,0.404,0.531,53.5,50.2,8.7,9.6,0.5,15.8,35.5,0.241,2019,1424
nevada,31,28,3,0.903,17.56,2.63,2529,2066,71.3,114.4,0.413,0.428,0.577,51.4,55.2,8.9,11.2,0.543,12.6,26.3,0.294,2019,1305
new hampshire,29,5,24,0.172,-18.27,-5.64,1742,1990,67.1,89.5,0.232,0.475,0.474,47.8,52.2,6,5.5,0.455,16.2,23.2,0.142,2019,1306
new mexico state,31,27,4,0.871,9.52,-2.04,2403,2003,68.2,113.2,0.344,0.457,0.556,56.7,53.8,8.5,8,0.531,14.6,37.1,0.232,2019,1308
new mexico,31,14,17,0.452,-0.25,1.72,2360,2363,74.3,102.5,0.39,0.439,0.537,50.6,54.5,9,8.6,0.5,16.8,28.9,0.273,2019,1307
new orleans,29,17,12,0.586,-8.56,-6.4,2080,2005,71.1,99.1,0.352,0.289,0.525,49.8,58,12.6,11.5,0.492,18.9,33,0.242,2019,1309
niagara,32,13,19,0.406,-11,-7.44,2318,2432,70.4,102.6,0.333,0.391,0.53,49.8,43.1,5.7,10.2,0.492,15.1,26.6,0.245,2019,1310
nicholls state,31,14,17,0.452,-11.43,-6.54,2260,2302,71.2,101.6,0.218,0.461,0.535,45.7,53,9.3,10.4,0.506,15.4,24.3,0.168,2019,1311
njit,33,21,12,0.636,-3.34,-4.56,2310,2238,68.9,100.8,0.389,0.373,0.548,48.9,44.7,9.2,7.6,0.51,16.3,21.4,0.28,2019,1312
norfolk state,32,20,12,0.625,-8.27,-9.47,2390,2229,72.2,102.2,0.397,0.373,0.549,50.3,51.9,8,13.6,0.51,17.9,27.6,0.286,2019,1313
north alabama,32,10,22,0.313,-10.83,-1.52,2145,2358,71.1,93.9,0.323,0.421,0.486,49.4,44.9,9.2,6.5,0.451,16.5,27.5,0.218,2019,1466
north carolina-asheville,31,4,27,0.129,-19.63,-2.16,1857,2313,64.2,92.9,0.269,0.422,0.506,46.5,50.5,9.8,9,0.471,19.9,29.1,0.199,2019,1421
north carolina a&t,31,19,12,0.613,-10.83,-9.48,2178,2144,68.1,102.3,0.302,0.362,0.545,47.7,54.7,9.8,9.1,0.523,16.8,27.4,0.2,2019,1299
north carolina central,30,15,15,0.5,-11.77,-10.73,2165,2021,69.2,103.8,0.33,0.359,0.546,54.8,60,9.2,7.7,0.513,18.9,35.2,0.237,2019,1300
north carolina-greensboro,34,28,6,0.824,4.65,-0.7,2585,2288,69.7,108.7,0.307,0.371,0.548,50.8,46.2,12.7,11.6,0.52,14.5,31.8,0.215,2019,1422
north carolina state,32,22,10,0.688,16.76,6.51,2571,2243,71.9,110.8,0.282,0.36,0.551,53,52.4,10.3,10.1,0.524,14.9,35.8,0.202,2019,1301
north carolina-wilmington,33,10,23,0.303,-7.53,-1.47,2515,2670,70.3,107.2,0.339,0.374,0.545,52.4,56.2,6.4,6,0.509,15.9,32.2,0.248,2019,1423
north carolina,31,26,5,0.839,25.26,11.68,2684,2263,76.3,113.1,0.312,0.36,0.565,56.3,62,9.6,10.1,0.533,14.9,34.7,0.231,2019,1314
north dakota state,33,18,15,0.545,-3.88,-2.43,2416,2382,66.7,108.9,0.317,0.474,0.578,48.9,46.3,7.2,6.6,0.543,14.3,20.9,0.245,2019,1295
north dakota,30,12,18,0.4,-8.45,-3.22,2220,2196,71.5,103.5,0.272,0.365,0.555,48.9,48.4,8,7.3,0.532,16,22.6,0.189,2019,1315
north florida,33,16,17,0.485,-3.3,-0.52,2485,2531,74,101.3,0.268,0.445,0.547,49.8,57.6,8.6,10.8,0.524,19.1,30.3,0.185,2019,1316
north texas,32,21,11,0.656,0.62,-3.28,2251,2010,67.4,103.9,0.278,0.438,0.537,53.3,50.9,9.6,7.8,0.515,17,31.6,0.187,2019,1317
northeastern,33,23,10,0.697,5.08,-0.74,2511,2319,66.2,112.9,0.343,0.463,0.603,50.1,54.7,9.1,5.9,0.572,15.1,22.7,0.257,2019,1318
northern arizona,31,10,21,0.323,-10.49,-5.98,2262,2402,70,103.4,0.338,0.412,0.536,48.6,48.5,9,6.5,0.503,15,25.7,0.238,2019,1319
northern colorado,31,21,10,0.677,-2.98,-6.56,2386,2146,68.6,110.9,0.341,0.458,0.576,52.3,49.6,7.8,7.4,0.549,15.5,28.8,0.243,2019,1294
northern illinois,32,16,16,0.5,2.85,1.29,2359,2266,68.6,106.3,0.276,0.319,0.553,50.9,40.9,8.1,7.2,0.525,15.2,27.1,0.201,2019,1296
northern iowa,34,16,18,0.471,-1.15,1,2215,2230,65.8,99,0.291,0.429,0.527,50,48.1,7.4,6.7,0.491,15.8,23.1,0.217,2019,1320
northern kentucky,34,26,8,0.765,4.73,-3.02,2690,2338,69.9,112.4,0.361,0.414,0.578,53.1,60.8,8.9,11.6,0.557,15.4,31,0.24,2019,1297
northwestern state,31,11,20,0.355,-16.74,-5.67,2051,2280,70.7,92.8,0.338,0.361,0.494,47.8,46.9,8.7,12.1,0.458,19.3,29.9,0.23,2019,1322
northwestern,32,13,19,0.406,10.71,9.9,2108,2082,66.8,97.8,0.302,0.408,0.505,48.4,61.4,8.2,11.1,0.466,14.3,24.3,0.222,2019,1321
notre dame,33,14,19,0.424,8.83,9.14,2266,2276,66.4,103.3,0.301,0.437,0.502,48.4,54.5,8.2,11.7,0.462,11.9,29,0.224,2019,1323
oakland,33,16,17,0.485,-2.02,-1.24,2534,2515,69.9,109.4,0.357,0.439,0.583,47.4,67.2,8.2,7.8,0.549,16.4,25.2,0.265,2019,1324
ohio state,31,18,13,0.581,14.38,10.64,2149,2033,66.6,103.7,0.346,0.396,0.54,51,57.6,8.5,7.3,0.503,16.1,27.8,0.251,2019,1326
ohio,31,14,17,0.452,-1.39,3.61,2174,2288,71.5,96.9,0.328,0.344,0.512,50.9,56.2,8.9,10.1,0.488,17.4,29,0.207,2019,1325
oklahoma state,32,12,20,0.375,8.16,11.6,2178,2288,67.1,101,0.306,0.419,0.529,48.6,55.5,8.5,13.1,0.501,15.8,26.4,0.21,2019,1329
oklahoma,32,19,13,0.594,14.85,11.91,2277,2183,69.8,101.6,0.314,0.333,0.531,50.4,48.9,8.5,8.5,0.502,15.4,26.1,0.217,2019,1328
old dominion,31,23,8,0.742,4.06,-1.62,2072,1896,65.8,101.6,0.302,0.382,0.506,53.4,54,8.7,13.9,0.481,15.1,32.1,0.196,2019,1330
oral roberts,32,11,21,0.344,-9.12,-1.69,2314,2483,69.1,104.2,0.263,0.392,0.549,52.1,50.8,6.8,9.3,0.527,17.5,30.3,0.181,2019,1331
oregon state,30,18,12,0.6,8.48,4.31,2217,2092,67.3,108.8,0.365,0.367,0.564,52,58.8,8.8,15,0.527,16,30.9,0.27,2019,1333
oregon,32,20,12,0.625,12.16,5.04,2254,2026,66.3,105.9,0.297,0.399,0.547,51.4,53.4,11.7,14,0.518,15.6,29.4,0.213,2019,1332
pacific,32,14,18,0.438,-1.96,2.48,2138,2241,66.7,99.4,0.414,0.336,0.532,51.2,45.4,9.1,5,0.482,17.4,27,0.31,2019,1334
penn state,31,14,17,0.452,13.45,12.23,2157,2119,68.3,101.1,0.329,0.371,0.511,51.5,49.4,11.2,10.5,0.476,15.6,31.6,0.228,2019,1336
pennsylvania,30,19,11,0.633,2.8,-0.38,2192,2051,69.3,103.3,0.284,0.445,0.549,50,57.1,9.6,6.2,0.532,16.1,24.9,0.181,2019,1335
pepperdine,34,16,18,0.471,1.35,1.08,2572,2529,70.7,106.3,0.357,0.42,0.564,47.4,55.4,9.5,8.2,0.524,15.9,24.9,0.271,2019,1337
pittsburgh,33,14,19,0.424,8.68,7.5,2306,2267,68.6,101.1,0.423,0.369,0.521,49.9,50.3,10,11.1,0.479,16.8,32.1,0.295,2019,1338
portland state,31,16,15,0.516,-8.58,-5.65,2404,2323,72.1,106.7,0.371,0.383,0.525,54.5,51.2,11.5,11,0.487,15.8,38.5,0.26,2019,1340
portland,32,7,25,0.219,-10.29,1.01,2078,2389,68.4,94.2,0.391,0.389,0.513,46.3,52.2,7.9,11.1,0.477,17.3,21.1,0.262,2019,1339
prairie view,32,20,12,0.625,-7.45,-9.19,2378,2308,72.3,102.8,0.418,0.338,0.525,47,49.9,12.1,4.9,0.488,15.3,30.2,0.283,2019,1341
presbyterian,33,18,15,0.545,-3.13,-5.26,2601,2389,69.5,112.9,0.323,0.479,0.572,49.7,58.3,8.4,6.2,0.542,12.5,26.1,0.235,2019,1342
princeton,27,16,11,0.593,-3.09,-0.69,1871,1868,69.7,98,0.3,0.408,0.51,50.3,43.5,8.6,6.9,0.472,15.8,26.3,0.222,2019,1343
providence,32,18,14,0.563,9.35,6.95,2294,2217,68.6,102.5,0.387,0.347,0.52,51.3,58.7,10.4,11,0.483,15.9,32,0.266,2019,1344
purdue,31,23,8,0.742,21.86,12.12,2365,2063,66.4,114,0.299,0.448,0.559,53.9,53.4,9.8,13.4,0.529,13.6,34.9,0.218,2019,1345
quinnipiac,30,16,14,0.533,-6.15,-7.82,2213,2163,67.6,106.5,0.378,0.538,0.562,50.8,54.2,7.5,5.2,0.526,17.2,29.3,0.274,2019,1346
radford,33,22,11,0.667,1.48,-1.75,2440,2247,66.4,110.5,0.266,0.387,0.559,52.7,52.3,8.9,10.1,0.535,14.1,29.9,0.191,2019,1347
rhode island,30,16,14,0.533,3,1.43,2091,2044,68.5,100.5,0.37,0.325,0.51,51.3,48.7,10.7,11.6,0.475,15.3,30.9,0.248,2019,1348
rice,32,13,19,0.406,-6.16,-1.66,2367,2481,71.7,101.2,0.392,0.426,0.536,51.3,53.3,7.3,8.5,0.502,16.6,26.5,0.269,2019,1349
richmond,32,13,19,0.406,-0.98,-0.48,2246,2262,66.9,105,0.306,0.405,0.561,45.3,61.2,11.5,8.8,0.541,14.2,18.8,0.202,2019,1350
rider,31,16,15,0.516,-4.62,-6.17,2381,2333,74.1,103.2,0.399,0.344,0.529,50.4,53.1,12.2,10.1,0.506,15.6,30.3,0.246,2019,1351
robert morris,33,17,16,0.515,-9.36,-7.39,2280,2237,68.1,100.3,0.33,0.393,0.534,50.3,56.8,10.5,7.9,0.502,18.6,30.2,0.23,2019,1352
rutgers,31,14,17,0.452,9.64,10.51,2105,2132,68.1,99,0.317,0.332,0.497,52.8,50.6,9.4,11.3,0.47,16.1,33.4,0.202,2019,1353
sacramento state,30,15,15,0.5,-8.67,-6.82,2124,2076,69.4,101.1,0.331,0.288,0.526,50,53.9,11.2,10.1,0.495,16.2,28.4,0.228,2019,1170
sacred heart,32,15,17,0.469,-7.43,-7.65,2558,2509,74,107.6,0.375,0.354,0.564,53,53.2,7.2,10.7,0.523,17,31.3,0.283,2019,1357
saint francis (pa),32,18,14,0.563,-8.44,-6.4,2445,2419,70.7,108.1,0.345,0.356,0.533,52.2,46.7,9.5,8,0.499,14.5,34.4,0.243,2019,1384
saint joseph's,31,13,18,0.419,-0.07,2.03,2176,2241,68.6,102,0.315,0.451,0.52,48.6,50.5,8.1,10.2,0.48,12.1,21.7,0.234,2019,1386
saint louis,31,19,12,0.613,4.4,1.85,2090,2011,68,99.1,0.414,0.327,0.493,54.3,54.3,10.9,11.9,0.466,16.3,35.7,0.248,2019,1387
saint mary's (ca),33,22,11,0.667,13.1,4.55,2406,2124,64.5,112.6,0.297,0.35,0.57,54.4,37.9,9.3,6.9,0.54,14.1,31.2,0.221,2019,1388
saint peter's,32,10,22,0.313,-11.78,-6.03,2012,2196,64.3,95.9,0.348,0.346,0.527,50.9,42.6,8.2,17.7,0.487,20.4,29.2,0.253,2019,1389
sam houston state,31,21,10,0.677,-2.47,-5.9,2331,2146,68.7,107.2,0.261,0.423,0.55,51.4,61.7,10.7,9.1,0.521,15.6,30.7,0.195,2019,1358
samford,33,17,16,0.515,1.1,-1.62,2583,2487,71.2,107.1,0.341,0.352,0.57,50.3,50.1,9.9,10.9,0.537,17,28.1,0.25,2019,1359
san diego state,31,19,12,0.613,5.01,2.24,2252,2116,69.1,105.1,0.35,0.372,0.547,51.5,57.7,8.5,10.1,0.513,16.2,29.7,0.25,2019,1361
san diego,35,21,14,0.6,6.84,3.84,2531,2381,67.9,105,0.326,0.404,0.564,51.8,56.4,8.2,8.5,0.53,16.5,24.3,0.244,2019,1360
san francisco,31,21,10,0.677,8.99,1.56,2358,2101,67.3,112.1,0.307,0.393,0.556,52.2,50.8,8.9,8.8,0.536,13.1,30.8,0.201,2019,1362
san jose state,31,4,27,0.129,-15.89,1.07,2042,2534,71.3,91.7,0.351,0.363,0.496,49.6,59.3,5.9,5.1,0.463,19,27.9,0.23,2019,1363
santa clara,31,16,15,0.516,-1.52,1.31,2115,2172,67.4,100,0.343,0.401,0.55,49.3,56.6,6.9,9.5,0.516,18.4,24.3,0.245,2019,1365
savannah state,31,11,20,0.355,-20.23,-8.76,2360,2694,78.1,97,0.255,0.576,0.506,46.2,56,9.6,7.9,0.481,17,28.2,0.173,2019,1366
seattle,31,18,13,0.581,-0.74,-3.77,2277,2126,70,104.2,0.348,0.33,0.536,52.3,45.6,6.2,9.2,0.5,15.2,29.2,0.248,2019,1370
seton hall,30,18,12,0.6,10.84,8.67,2214,2149,70.1,103.9,0.342,0.363,0.538,49.8,52.2,9.9,11.3,0.503,15.8,29.1,0.244,2019,1371
siena,33,17,16,0.515,-7.62,-6.2,2131,2178,61.4,103.2,0.247,0.478,0.536,46.8,53.5,9.2,8.3,0.515,13.9,23.2,0.168,2019,1373
south alabama,32,16,16,0.5,-4,-2.5,2341,2317,68.9,105,0.352,0.401,0.562,47.9,54.1,8.4,11.8,0.536,16.8,26,0.239,2019,1375
south carolina state,34,8,26,0.235,-16.57,-8.01,2388,2593,69.2,100.3,0.409,0.307,0.529,50.6,47.6,7,5.4,0.48,17.9,32.2,0.303,2019,1354
south carolina upstate,32,6,26,0.188,-15.07,-4.04,2169,2395,69.4,96.9,0.262,0.437,0.515,46.7,56,9.2,8.1,0.485,17.3,26.2,0.187,2019,1367
south carolina,31,16,15,0.516,8.81,9.84,2263,2243,71.5,101.8,0.363,0.342,0.519,49.7,51.1,8.8,12.6,0.484,16,31.9,0.248,2019,1376
south dakota state,32,24,8,0.75,6.07,-5.12,2716,2346,73,116.3,0.328,0.408,0.618,53.3,49.7,8.5,5.9,0.587,14.7,23.4,0.255,2019,1355
south dakota,30,13,17,0.433,-5.17,-2.7,2118,2136,68.1,103.3,0.352,0.4,0.546,47.9,52.4,8,6.4,0.507,14.3,22,0.26,2019,1377
south florida,31,19,12,0.613,5.73,1.26,2239,2064,69.2,102.3,0.501,0.38,0.526,55.2,57.8,11.2,9.7,0.491,19,37.9,0.321,2019,1378
southeast missouri state,31,10,21,0.323,-11.22,-4.29,2216,2378,70.2,99.8,0.287,0.397,0.539,48.8,50.5,8.2,6.9,0.514,17.9,25.7,0.198,2019,1369
southeastern louisiana,31,16,15,0.516,-7.6,-5.84,2079,2094,67.7,99,0.361,0.399,0.542,52.1,59.6,9.7,7,0.506,20.9,32.6,0.257,2019,1368
southern california,32,16,16,0.5,8.35,4.88,2443,2332,71,105.8,0.278,0.358,0.545,48.6,57,8.3,9.2,0.528,14.3,26.8,0.178,2019,1425
siu edwardsville,31,10,21,0.323,-14.28,-4.87,2265,2520,71.9,98.4,0.357,0.35,0.51,48.2,48.1,8.6,6.1,0.471,16.5,28.7,0.251,2019,1188
southern illinois,32,17,15,0.531,1.65,0.09,2194,2144,66.8,102.7,0.32,0.331,0.554,50.8,54.6,9.9,11.7,0.528,18.4,28.6,0.219,2019,1356
southern methodist,30,14,16,0.467,5.6,3.84,2155,2102,66.5,108,0.276,0.412,0.537,51.1,53.7,8.8,11.5,0.508,14,33.1,0.198,2019,1374
southern mississippi,30,19,11,0.633,4.34,-0.39,2183,1927,67.4,107.1,0.249,0.36,0.552,50.2,61.5,11.8,10.9,0.537,13.6,24.8,0.161,2019,1379
southern utah,30,15,15,0.5,-9.66,-6.34,2282,2282,73.5,102.3,0.368,0.4,0.547,50.1,48.8,7.9,9.1,0.513,16.4,24,0.26,2019,1381
southern,32,7,25,0.219,-16.64,-7.22,2077,2360,68.4,94.6,0.344,0.318,0.522,47.9,49.5,9.8,8.1,0.492,20.4,29.4,0.23,2019,1380
st. bonaventure,31,16,15,0.516,3.07,0.53,2061,1982,65.6,99.3,0.28,0.33,0.519,50.7,50.3,9.2,14.7,0.487,16.6,28.7,0.204,2019,1382
st. francis (ny),32,17,15,0.531,-9.7,-8.2,2273,2239,70.5,100.3,0.296,0.403,0.517,49.3,45.3,8.3,10.4,0.49,15.5,27.6,0.2,2019,1383
st. john's (ny),32,21,11,0.656,9.65,5.83,2504,2382,72.4,106.8,0.294,0.385,0.558,45.9,50.2,12,9.8,0.528,12.9,21.4,0.214,2019,1385
stanford,31,15,16,0.484,6.31,5.41,2255,2227,71.8,100.8,0.361,0.366,0.54,51.4,48.5,8.3,10.8,0.512,18.3,29.8,0.242,2019,1390
stephen f. austin,30,14,16,0.467,-10.52,-5.45,2105,2161,69.8,99.7,0.358,0.347,0.53,49,46.7,9.1,11.9,0.499,18.2,30.3,0.244,2019,1372
stetson,31,7,24,0.226,-14.89,-3.34,2151,2429,71.6,96.5,0.256,0.349,0.489,47.8,52.6,9.4,8.5,0.459,15.2,29,0.177,2019,1391
stony brook,32,24,8,0.75,-1.9,-6.51,2285,2106,69.6,101.8,0.358,0.367,0.522,54.2,45.3,8.9,12.5,0.482,17.3,33.9,0.257,2019,1392
syracuse,32,20,12,0.625,14.74,10.21,2229,2084,67.2,103.3,0.367,0.429,0.526,48.6,51,12.3,16.9,0.493,15.7,30.2,0.251,2019,1393
temple,31,23,8,0.742,8.9,4.9,2321,2197,70.3,104.9,0.327,0.378,0.538,48,55.2,12.3,6.5,0.502,13.7,25.5,0.239,2019,1396
